ID,GM Program,GM Percussion Note,Default MIDI Channel,Score Order,Allowed Clefs,Standard Clef,Transposition,Playable Range,Comfortable Range,Long Name,Short Name,Sibelius Name
wind.flutes.bansuri,,,,1,treble,treble,C4,,,,,
wind.flutes.blown-bottle,77,,,1,treble,treble,C4,,,,,
wind.flutes.calliope,83,,,1,treble,treble,C4,,,,,
wind.flutes.danso,,,,1,treble,treble,C4,,,,,
wind.flutes.di-zi,,,,1,treble,treble,C4,,,,,
wind.flutes.dvojnice,,,,1,treble,treble,C4,,,,,
wind.flutes.fife,,,,1,treble,treble,C4,,,,,
wind.flutes.flageolet,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.bass,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.contra-alto,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.contrabass,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.double-contrabass,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.irish,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.subcontrabass,,,,1,treble,treble,C4,,,,,
wind.flutes.fujara,,,,1,treble,treble,C4,,,,,
wind.flutes.gemshorn,,,,1,treble,treble,C4,,,,,
wind.flutes.hocchiku,,,,1,treble,treble,C4,,,,,
wind.flutes.hun,,,,1,treble,treble,C4,,,,,
wind.flutes.kaval,,,,1,treble,treble,C4,,,,,
wind.flutes.kawala,,,,1,treble,treble,C4,,,,,
wind.flutes.khlui,,,,1,treble,treble,C4,,,,,
wind.flutes.knotweed,,,,1,treble,treble,C4,,,,,
wind.flutes.koncovka.alto,,,,1,treble,treble,C4,,,,,
wind.flutes.koudi,,,,1,treble,treble,C4,,,,,
wind.flutes.ney,,,,1,treble,treble,C4,,,,,
wind.flutes.nohkan,,,,1,treble,treble,C4,,,,,
wind.flutes.nose,,,,1,treble,treble,C4,,,,,
wind.flutes.ocarina,80,,,1,treble,treble,C4,,,,,
wind.flutes.overtone.tenor,,,,1,treble,treble,C4,,,,,
wind.flutes.palendag,,,,1,treble,treble,C4,,,,,
wind.flutes.panpipes,76,,,1,treble,treble,C4,,,,,
wind.flutes.quena,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder,75,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.alto,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.bass,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.contrabass,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.descant,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.garklein,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.great-bass,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.sopranino,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.soprano,,,,1,treble,treble,C4,,,,,
wind.flutes.recorder.tenor,,,,1,treble,treble,C4,,,,,
wind.flutes.ryuteki,,,,1,treble,treble,C4,,,,,
wind.flutes.shakuhachi,78,,,1,treble,treble,C4,,,,,
wind.flutes.shepherds-pipe,,,,1,treble,treble,C4,,,,,
wind.flutes.shinobue,,,,1,treble,treble,C4,,,,,
wind.flutes.shvi,,,,1,treble,treble,C4,,,,,
wind.flutes.suling,,,,1,treble,treble,C4,,,,,
wind.flutes.tarka,,,,1,treble,treble,C4,,,,,
wind.flutes.tumpong,,,,1,treble,treble,C4,,,,,
wind.flutes.venu,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle,79,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.alto,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.low-irish,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.shiva,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.slide,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.tin,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.tin.bflat,,,,1,treble,treble,C4,,,,,
wind.flutes.whistle.tin.d,,,,1,treble,treble,C4,,,,,
wind.flutes.xiao,,,,1,treble,treble,C4,,,,,
wind.flutes.xun,,,,1,treble,treble,C4,,,,,
wind.group,,,,1,treble,treble,C4,,,,,
wind.jug,,,,1,treble,treble,C4,,,,,
wind.pipes.bagpipes,110,,,1,treble,treble,C4,,,,,
wind.pipes.gaida,,,,1,treble,treble,C4,,,,,
wind.pipes.highland,,,,1,treble,treble,C4,,,,,
wind.pipes.uilleann,,,,1,treble,treble,C4,,,,,
wind.pungi,,,,1,treble,treble,C4,,,,,
wind.reed.albogue,,,,1,treble,treble,C4,,,,,
wind.reed.alboka,,,,1,treble,treble,C4,,,,,
wind.reed.algaita,,,,1,treble,treble,C4,,,,,
wind.reed.arghul,,,,1,treble,treble,C4,,,,,
wind.reed.bawu,,,,1,treble,treble,C4,,,,,
wind.reed.bifora,,,,1,treble,treble,C4,,,,,
wind.reed.bombarde,,,,1,treble,treble,C4,,,,,
wind.reed.contrabass,,,,1,treble,treble,C4,,,,,
wind.reed.cornamuse,,,,1,treble,treble,C4,,,,,
wind.reed.cromorne,,,,1,treble,treble,C4,,,,,
wind.reed.crumhorn,,,,1,treble,treble,C4,,,,,
wind.reed.crumhorn.alto,,,,1,treble,treble,C4,,,,,
wind.reed.crumhorn.bass,,,,1,treble,treble,C4,,,,,
wind.reed.crumhorn.great-bass,,,,1,treble,treble,C4,,,,,
wind.reed.crumhorn.soprano,,,,1,treble,treble,C4,,,,,
wind.reed.crumhorn.tenor,,,,1,treble,treble,C4,,,,,
wind.reed.diple,,,,1,treble,treble,C4,,,,,
wind.reed.diplica,,,,1,treble,treble,C4,,,,,
wind.reed.duduk,,,,1,treble,treble,C4,,,,,
wind.reed.dulcian,,,,1,treble,treble,C4,,,,,
wind.reed.dulzaina,,,,1,treble,treble,C4,,,,,
wind.reed.guanzi,,,,1,treble,treble,C4,,,,,
wind.reed.harmonica,23,,,1,treble,treble,C4,,,Harmonica,,
wind.reed.harmonica.bass,,,,1,treble,treble,C4,,,,,
wind.reed.heckel-clarina,,,,1,treble,treble,C4,,,,,
wind.reed.heckelphone,,,,1,treble,treble,C4,,,,,
wind.reed.heckelphone-clarinet,,,,1,treble,treble,C4,,,,,
wind.reed.heckelphone.piccolo,,,,1,treble,treble,C4,,,,,
wind.reed.hichiriki,,,,1,treble,treble,C4,,,,,
wind.reed.hirtenschalmei,,,,1,treble,treble,C4,,,,,
wind.reed.hne,,,,1,treble,treble,C4,,,,,
wind.reed.hornpipe,,,,1,treble,treble,C4,,,,,
wind.reed.houguan,,,,1,treble,treble,C4,,,,,
wind.reed.hulusi,,,,1,treble,treble,C4,,,,,
wind.reed.jogi-baja,,,,1,treble,treble,C4,,,,,
wind.reed.ken-bau,,,,1,treble,treble,C4,,,,,
wind.reed.khaen-mouth-organ,,,,1,treble,treble,C4,,,,,
wind.reed.launeddas,,,,1,treble,treble,C4,,,,,
wind.reed.maqrunah,,,,1,treble,treble,C4,,,,,
wind.reed.melodica,,,,1,treble,treble,C4,,,,,
wind.reed.mijwiz,,,,1,treble,treble,C4,,,,,
wind.reed.mizmar,,,,1,treble,treble,C4,,,,,
wind.reed.nadaswaram,,,,1,treble,treble,C4,,,,,
wind.reed.octavin,,,,1,treble,treble,C4,,,,,
wind.reed.pi,,,,1,treble,treble,C4,,,,,
wind.reed.pibgorn,,,,1,treble,treble,C4,,,,,
wind.reed.piri,,,,1,treble,treble,C4,,,,,
wind.reed.rackett,,,,1,treble,treble,C4,,,,,
wind.reed.rauschpfeife,,,,1,treble,treble,C4,,,,,
wind.reed.rhaita,,,,1,treble,treble,C4,,,,,
wind.reed.rothphone,,,,1,treble,treble,C4,,,,,
wind.reed.sarrusaphone,,,,1,treble,treble,C4,,,,,
wind.reed.saxonette,,,,1,treble,treble,C4,,,,,
wind.reed.shawm,,,,1,treble,treble,C4,,,,,
wind.reed.shenai,112,,,1,treble,treble,C4,,,,,
wind.reed.sheng,,,,1,treble,treble,C4,,,,,
wind.reed.sipsi,,,,1,treble,treble,C4,,,,,
wind.reed.sopila,,,,1,treble,treble,C4,,,,,
wind.reed.sorna,,,,1,treble,treble,C4,,,,,
wind.reed.sralai,,,,1,treble,treble,C4,,,,,
wind.reed.suona,,,,1,treble,treble,C4,,,,,
wind.reed.surnai,,,,1,treble,treble,C4,,,,,
wind.reed.taepyeongso,,,,1,treble,treble,C4,,,,,
wind.reed.tarogato,,,,1,treble,treble,C4,,,,,
wind.reed.tarogato.ancient,,,,1,treble,treble,C4,,,,,
wind.reed.trompeta-china,,,,1,treble,treble,C4,,,,,
wind.reed.tubax,,,,1,treble,treble,C4,,,,,
wind.reed.xaphoon,,,,1,treble,treble,C4,,,,,
wind.reed.zhaleika,,,,1,treble,treble,C4,,,,,
wind.reed.zurla,,,,1,treble,treble,C4,,,,,
wind.reed.zurna,,,,1,treble,treble,C4,,,,,
wind.flutes.flute.piccolo,73,,,1.1,treble,treble,C5,D5-B6,,Piccolo Flute,,Piccolo
wind.flutes.flute,74,,,1.2,treble,treble,C4,C4-B6,,Flute,,
wind.flutes.flute.alto,,,,1.25,treble,treble,G3,G3-D6,,Alto Flute,,
wind.flutes.flute.x.bass,,,,1.26,treble,treble,C3,C3-C5,,Bass Flute,,
wind.reed.oboe-da-caccia,,,,1.3,treble,treble,C4,,,,,
wind.reed.oboe.piccolo,,,,1.31,treble,treble,C4,,,Piccolo Oboe,,
wind.reed.oboe,69,,1,1.35,treble,treble,C4,D4-F6,,Oboe,,
wind.reed.oboe-damore,,,,1.36,treble,treble,A3,,,Oboe d'Amore,,
wind.reed.english-horn,70,,1,1.37,treble,treble,F3,G3-C6,,English Horn,,
wind.reed.oboe.bass,,,,1.38,treble,treble,C3,,,Bass Oboe,,
wind.reed.saxophone,,,,1.5,treble,treble,Bb3,,,Saxophone,,
wind.reed.saxophone.aulochrome,,,,1.5,treble,treble,Bb3,,,,,
wind.reed.saxophone.melody,,,,1.5,treble,treble,Bb3,,,,,
wind.reed.saxophone.sopranissimo,,,,1.501,treble,treble,Bb4,,,Sopranissimo Saxophone,,
wind.reed.saxophone.sopranino,,,,1.5015,treble,treble,Eb4,,,Sopranino Saxophone,,
wind.reed.saxophone.soprano,65,,,1.502,treble,treble,Bb3,,,Soprano Saxophone,,
wind.reed.saxophone.mezzo-soprano,,,,1.5025,treble,treble,F3,,,Mezzo-soprano Saxophone,,
wind.reed.saxophone.alto,66,,,1.503,treble,treble,Eb3,,,Alto Saxophone,,
wind.reed.saxophone.tenor,67,,,1.504,treble,treble,Bb2,,,Tenor Saxophone,,
wind.reed.saxophone.baritone,68,,,1.505,treble,treble,Eb2,,,Baritone Saxophone,,
wind.reed.saxophone.bass,,,,1.506,treble,treble,Bb1,,,Bass Saxophone,,
wind.reed.saxophone.contrabass,,,,1.507,treble,treble,Eb1,,,Contrabass Saxophone,,
wind.reed.saxophone.subcontrabass,,,,1.508,treble,treble,Bb0,,,Subcontrabass Saxophone,,
wind.reed.chalumeau,,,,1.6,treble,treble,C4,,,,,
wind.reed.clarinette-damour,,,,1.6,treble,treble,C4,,,,,
wind.reed.clarinet.piccolo.aflat,,,,1.601,treble,treble,Ab4,,,Piccolo Clarinet,,Piccolo Clarinet
wind.reed.clarinet.eflat,,,,1.61,treble,treble,Eb4,G3-Bb6,,Clarinet in Eb, ,Clarinet in Eb
wind.reed.clarinet,,,2,1.64,treble,treble,Bb3,,,Clarinet,,Clarinet
wind.reed.clarinet.bflat,72,,2,1.64,treble,treble,Bb3,D3-Eb6,,Clarinet in Bb,,Clarinet in Bb
wind.reed.clarinet.a,,,2,1.65,treble,treble,A3,,,Clarinet in A,,Clarinet in A
wind.reed.clarinet.alto,,,2,1.67,treble,treble,Eb3,,,Alto Clarinet,,Alto Clarinet
wind.reed.basset-horn,,,,1.68,treble,treble,F3,,,Basset Horn,,Basset Horn
wind.reed.clarinet.basset,,,2,1.68,treble,treble,F3,,,Basset Clarinet,,Basset Clarinet
wind.reed.clarinet.bass,,,,1.69,treble,treble,Bb2,D2-Eb5,,Bass Clarinet,,Bass Clarinet
wind.reed.clarinet.contra-alto,,,,1.694,treble,treble,Eb2,,,Contra-alto Clarinet,,Contra-alto Clarinet
wind.reed.clarinet.contrabass,,,,1.695,treble,treble,Bb1,,,Contrabass Clarinet,,Contrabass Clarinet
wind.reed.bassoon,71,,3,1.7,"treble,ten,bass",bass,C4,Bb1-D5,,Bassoon,,
wind.reed.contrabassoon,,,,1.75,"treble,ten,bass",bass,C3,Bb0-G5,,Contrabassoon,,
brass.alphorn,,,,2,treble,treble,C4,,,,,
brass.alto-horn,,,,2,treble,treble,Eb3,,,,,
brass.baritone-horn,,,,2,treble,treble,Bb2,,,,,
brass.bugle,,,,2,treble,treble,C4,,,,,
brass.bugle.alto,,,,2,treble,treble,C4,,,,,
brass.bugle.baritone,,,,2,treble,treble,C4,,,,,
brass.bugle.contrabass,,,,2,treble,bass,C4,,,,,
brass.bugle.euphonium-bugle,,,,2,treble,treble,C4,,,,,
brass.bugle.mellophone-bugle,,,,2,treble,treble,C4,,,,,
brass.bugle.soprano,,,,2,treble,treble,C4,,,,,
brass.cimbasso,,,,2,treble,treble,C4,,,,,
brass.conch-shell,,,,2,treble,treble,C4,,,,,
brass.didgeridoo,,,,2,treble,treble,C4,,,,,
brass.fiscorn,,,,2,treble,treble,C4,,,,,
brass.group,62,,,2,treble,treble,C4,,,,,
brass.group.synth,"63,64",,,2,treble,treble,C4,,,,,
brass.helicon,,,,2,treble,treble,C4,,,,,
brass.horagai,,,,2,treble,treble,C4,,,,,
brass.kuhlohorn,,,,2,treble,treble,C4,,,,,
brass.mellophone,,,,2,treble,treble,C4,,,,,
brass.natural-horn,,,,2,treble,treble,C4,,,,,
brass.ophicleide,,,,2,treble,treble,C4,,,,,
brass.posthorn,,,,2,treble,treble,C4,,,,,
brass.rag-dung,,,,2,treble,treble,C4,,,,,
brass.sackbutt,,,,2,treble,treble,C4,,,,,
brass.sackbutt.alto,,,,2,treble,treble,C4,,,,,
brass.sackbutt.bass,,,,2,treble,treble,C4,,,,,
brass.sackbutt.tenor,,,,2,treble,treble,C4,,,,,
brass.saxhorn,,,,2,treble,treble,C4,,,,,
brass.serpent,,,,2,treble,treble,C4,,,,,
brass.shofar,,,,2,treble,treble,C4,,,,,
brass.sousaphone,,,,2,treble,treble,C4,,,,,
brass.vienna-horn,,,,2,treble,treble,C4,,,,,
brass.vuvuzela,,,,2,treble,treble,C4,,,,,
brass.french-horn,61,,4,2.1,treble,treble,F3,C2-C5,,Horn,,Horn in F
brass.wagner-tuba,,,,2.15,bass,bass,C4,,,,,
brass.trumpet,"57,60",,5,2.2,treble,treble,Bb3,G3-Bb5,,Trumpet,,Trumpet in Bb
brass.trumpet.baroque,,,,2.2,treble,treble,Bb3,,,,,
brass.trumpet.pocket,,,,2.2,treble,treble,Bb3,,,,,
brass.trumpet.slide,,,,2.2,treble,treble,Bb3,,,,,
brass.trumpet.piccolo,,,,2.201,treble,treble,Bb4,,,Piccolo Trumpet,,
brass.trumpet.d,,,,2.21,treble,treble,D4,G3-Bb5,,Trumpet in D,,
brass.trumpet.c,,,,2.22,treble,treble,C4,G3-Bb5,,Trumpet in C,,
brass.trumpet.bflat,,,,2.23,treble,treble,Bb3,G3-Bb5,,Trumpet in Bb,,
brass.cornet,,,,2.24,treble,treble,Bb3,,,Cornet,,
brass.cornet.soprano,,,,2.24,treble,treble,Eb4,,,Soprano Cornet,,
brass.cornett,,,,2.24,treble,treble,C4,,,,,
brass.cornett.tenor,,,,2.24,treble,treble,C4,,,,,
brass.cornettino,,,,2.24,treble,treble,C4,,,,,
brass.flugelhorn,,,,2.24,treble,treble,Bb3,,,Flugelhorn,,
brass.trumpet.tenor,,,,2.28,treble,treble,Bb3,,,Tenor Trumpet,,
brass.trumpet.bass,,,,2.29,treble,treble,Eb3,,,Bass Trumpet,,
brass.trombone,58,,6,2.3,"ten,bass",bass,C4,E2-C5,,Trombone,,
brass.trombone.alto,,,,2.31,"alto,ten,bass",alto,C4,,,Alto Trombone,,
brass.trombone.tenor,,,,2.32,"ten,bass",bass,C4,E2-C5,,Trombone,,
brass.trombone.bass,,,,2.34,"ten,bass",bass,C4,E1-G4,,Bass Trombone,,
brass.trombone.contrabass,,,,2.35,"ten,bass",bass,C4,,,Contrabass Trombone,,
brass.euphonium,,,,2.401,treble,treble,C4,,,,,
brass.tuba,59,,7,2.41,bass,bass,C4,C2-A4,,Tuba,,
brass.tuba.bass,,,,2.41,bass,bass,C4,C2-A4,,Tuba,,
brass.tuba.subcontrabass,,,,2.42,bass,bass,C4,,,Subcontrabass Tuba,,
drum.timpani,48,,8,3,bass,bass,C4,C2-C4,,Timpani,,
drum.apentemma,,,,4,perc,perc,C4,,,,,
drum.ashiko,,,,4,perc,perc,C4,,,,,
drum.atabaque,,,,4,perc,perc,C4,,,,,
drum.atoke,,,,4,perc,perc,C4,,,,,
drum.atsimevu,,,,4,perc,perc,C4,,,,,
drum.axatse,,,,4,perc,perc,C4,,,,,
drum.bass-drum,,"35,36",,4,perc,perc,C4,,,,,
drum.bata,,,,4,perc,perc,C4,,,,,
drum.bata.itotele,,,,4,perc,perc,C4,,,,,
drum.bata.iya,,,,4,perc,perc,C4,,,,,
drum.bata.okonkolo,,,,4,perc,perc,C4,,,,,
drum.bendir,,,,4,perc,perc,C4,,,,,
drum.bodhran,,,,4,perc,perc,C4,,,,,
drum.bombo,,,,4,perc,perc,C4,,,,,
drum.bongo,,"60,61",,4,perc,perc,C4,,,,,
drum.bougarabou,,,,4,perc,perc,C4,,,,,
drum.buffalo-drum,,,,4,perc,perc,C4,,,,,
drum.cajon,,,,4,perc,perc,C4,,,,,
drum.chenda,,,,4,perc,perc,C4,,,,,
drum.chu-daiko,,,,4,perc,perc,C4,,,,,
drum.conga,,"62,63,64",,4,perc,perc,C4,,,,,
drum.cuica,,"78,79",,4,perc,perc,C4,,,,,
drum.dabakan,,,,4,perc,perc,C4,,,,,
drum.daff,,,,4,perc,perc,C4,,,,,
drum.dafli,,,,4,perc,perc,C4,,,,,
drum.daibyosi,,,,4,perc,perc,C4,,,,,
drum.damroo,,,,4,perc,perc,C4,,,,,
drum.darabuka,,,,4,perc,perc,C4,,,,,
drum.def,,,,4,perc,perc,C4,,,,,
drum.dhol,,,,4,perc,perc,C4,,,,,
drum.dholak,,,,4,perc,perc,C4,,,,,
drum.djembe,,,,4,perc,perc,C4,,,,,
drum.doira,,,,4,perc,perc,C4,,,,,
drum.dondo,,,,4,perc,perc,C4,,,,,
